Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0059489-0058752,43,provision of food and drink,Low similar,32,mineral water [beverages],"Hospitality services, namely, the provision of food and drink",Bottled mineral water for drinking [beverages]
0048144-0011406,11,apparatus for drying,Dissimilar,11,acetylene generators,Apparatus and installations for drying purposes,"Machine apparatus, namely, acetylene generators, for producing acetylene gas"
0000478-0017805,41,arranging and conducting of symposiums,Identical,41,arrangement of conferences for recreational purposes,Services for arranging and conducting educational and professional symposiums,Services for arranging conferences for recreational purposes
0000788-0047672,6,building materials of metal,Identical,6,building and construction materials and elements of metal,Fabricated metal materials for building construction,Fabricated metal materials and elements for building and construction purposes
0015146-0007748,35,business administration,Dissimilar,10,dentists' armchairs,"Professional services relating to the management, organization, and administration of businesses",Ergonomic chairs for dentists' use during procedures
0001031-0035881,12,gear boxes for land vehicles,Dissimilar,12,apparatus for locomotion by water,Mechanical gear boxes for land vehicles,Vehicles and apparatus for locomotion by water
0033313-0059192,9,cleaning apparatus for phonograph records,Dissimilar,9,data processing apparatus,Cleaning apparatus specifically designed for phonograph records,Electronic apparatus for processing data
0034908-0057677,26,decorative articles for the hair,Dissimilar,18,harness for animals,Decorative articles and accessories for the hair,Harness for animals
0058857-0048107,9,spectacle frames,Dissimilar,9,scientific apparatus and instruments,Frames for spectacles and eyeglasses,Technical apparatus and instruments for scientific research and analysis
0025839-0046167,29,olive oil,Dissimilar,30,chocolate,"Edible oil derived from olives, for use in food preparation","Edible food product made from cacao, namely chocolate"
0013151-0072421,30,flour,Dissimilar,30,spices,Milled grain flour for food preparation,Aromatic plant-derived spices for food flavoring
0005760-0007836,41,"film production, other than advertising films",Identical,41,entertainment services,Entertainment services for film production (excluding advertising),"Providing entertainment, amusement, and recreation services to the public."
0007836-0059004,41,entertainment services,Identical,41,amusement arcade services,"Providing entertainment, amusement, and recreation services to the public.","Amusement arcade operation service, namely, operating a facility providing coin-operated games and amusements for public entertainment"
0013808-0031413,20,beds,Similar,20,futon mattresses [other than childbirth mattresses],Furniture in the nature of beds for sleeping,"Futon mattresses for sleeping and resting, excluding those for childbirth or medical purposes"
0038080-0045112,9,controlling software for computer printers,Dissimilar,28,computer game apparatus,Downloadable computer software for controlling computer printers,Physical hardware device for playing computer and video games
0041981-0042843,29,preserved vegetables,Low similar,30,salt,"Vegetables preserved by canning, freezing, drying or other methods for consumption",Edible salt for culinary purposes
0031765-0046914,30,starch for food,Dissimilar,29,"fruit, preserved","Starch, being an edible powder for food preparation",Preserved fruit for food consumption
0058666-0037369,11,lighting apparatus,Dissimilar,11,fuel economisers,Electrical apparatus for producing and emitting light,Apparatus for economizing fuel in heating and steam generating installations
0029504-0059256,29,milk,Dissimilar,29,meat,Milk for food and beverage consumption,Edible animal flesh for human consumption
0048140-0072718,31,malt,Dissimilar,31,litter for animals,Processed grain [malt] for brewing and food production,"Animal care products, namely, litter for animals"
0048104-0024490,9,checking (supervision) apparatus and instruments,Similar,9,weighing apparatus and instruments,Scientific and technical apparatus and instruments for checking and supervision,Weighing apparatus and instruments
0030502-0016596,3,cosmetics,Dissimilar,5,dental materials for stopping the teeth,Non-medicated cosmetics for beauty and personal care,Dental filling materials for stopping teeth
0017476-0047649,3,extracts of flowers [perfumes],Identical,3,perfumery and fragrances,Perfume extracts derived from flowers,Chemical preparations for perfumery and fragrances for personal or ambient use
0025734-0024894,12,vehicles,Identical,12,handling carts,"Apparatus for locomotion by land, air, or water, for conveying people or goods",Wheeled apparatus for transporting goods and materials
0020077-0018418,29,edible fats,Dissimilar,30,propolis,Fats processed for human consumption,Propolis for food purposes
0012321-0078171,9,refractometers,Identical,9,measuring devices,"Refractometers, being scientific optical instruments for measuring refractive index",Scientific and technical measuring instruments and apparatus
0044151-0041885,29,"vegetables, dried",Dissimilar,29,"tuna, not live",Dried vegetables for human consumption,"Prepared tuna, not live, for food"
GSCSup-0048526-0048048,38,communications and telecommunications including access to global computing and digital communications networks via global computing networks,Identical,38,computer communication and internet access,"Telecommunication services for communications, including providing access to global computing and digital communications networks",Telecommunications services for computer communication and Internet access
0058839-0025728,18,valises,Dissimilar,18,chain mesh purses,Small carrying bags for personal items [valises],"Small carrying bags made of chain mesh, for holding personal items"
0037277-0059298,18,leather and imitations of leather,Dissimilar,18,handbag frames,"Processed leather and synthetic imitations thereof, for manufacturing","Structural components for carrying bags, namely, handbag frames"
0058836-0059013,18,travelling bags,Similar,18,bumbags,Handbags for carrying personal belongings during travel,Small carrying bags worn around the waist
0023723-0031838,5,dietetic substances adapted for medical use,Dissimilar,44,forestry services,Dietetic preparations adapted for medical use,Services for the management and cultivation of forests
0034938-0024834,6,frameworks of metal,Identical,6,framework of metal for building,Metal frameworks for construction and structural support,Metal framework for building construction
0035881-0031725,12,apparatus for locomotion by water,Similar,12,ship hulls,Vehicles and apparatus for locomotion by water,Main structural bodies of ships
0001411-0011906,5,herbicides,Low similar,44,agriculture services,Chemical preparations for destroying unwanted vegetation (herbicides),Agricultural cultivation and production services
0030502-0065084,3,cosmetics,Identical,3,"moisturising creams, lotions and gels",Non-medicated cosmetics for beauty and personal care,"Non-medicated cosmetic and toiletry moisturizing creams, lotions and gels"
0014074-0000434,30,binding agents for ice cream,Dissimilar,30,tapioca,"Food additives, namely, binding agents for stabilizing ice cream",Edible tapioca [foodstuff]
0027788-0029354,1,wallpaper removing preparations,Dissimilar,2,raw natural resins,Chemical solutions for removing wallpaper,Unprocessed natural resins for industrial purposes
0043508-0037239,20,furniture,Similar,20,cushions,Movable articles of furniture,Padded cushions for comfort and support
0067005-0058849,21,electric make-up removing appliances,Dissimilar,9,software,Hand-held electric appliances for make-up removing purposes,Downloadable and recorded computer software
0060833-0006983,9,downloadable image files,Dissimilar,9,apparatus for the transmission of images,Downloadable digital media files containing images,Electronic apparatus for the transmission of visual images and data
0048094-0059421,5,materials for dressings,Dissimilar,5,food for babies,Medical materials for surgical and wound dressings,Dietetic food preparations specifically formulated for babies
0015006-0059051,16,printed matter,Dissimilar,16,cardboard,"Paper or cardboard articles bearing text, images, or designs produced by printing",Raw or semi-processed paper product in the nature of cardboard
0030938-0006149,5,disposable diapers,Dissimilar,16,"typewriters, electric or non-electric",Disposable diapers for sanitary purposes,"Typewriters, electric or non-electric, for office use"
0004354-0002359,41,cultural activities,Similar,41,sporting activities,"Services for organizing and conducting cultural activities, including education, entertainment, and artistic presentations",Services for organizing and conducting sporting activities and events
0047721-0070145,8,"agricultural, gardening and landscaping tools",Similar,7,"agricultural, gardening and forestry machines and apparatus","Hand-operated implements for agricultural, gardening, and landscaping purposes","Power-operated machines and apparatus for use in agriculture, gardening, and forestry operations"
0031761-0048125,29,"fish, not live",Dissimilar,30,preparations made from cereals,"Fish, not live, for human consumption",Edible food preparations made from cereals
0057779-0029106,41,training,Identical,41,coaching [training],Services for providing training,Coaching services for training purposes
0034518-0027889,29,poultry,Dissimilar,30,honey,Edible poultry meat,Natural edible honey
0018703-0037565,6,metal hardware,Similar,6,pipes and tubes of metal,Small items of metal hardware,Metal pipes and tubes for industrial and construction use
0025613-0015051,33,alcoholic beverages (except beer),Identical,33,gin,"Potable alcoholic beverages, excluding beer",Alcoholic gin beverage
0059490-0026550,43,services for providing food and drink,Low similar,30,ice cream confectionery,"Hospitality services, namely, services for providing food and drink","Edible frozen confectionery products, namely, ice cream treats"
0012232-0031070,35,employment agency services,Identical,35,personnel placement and recruitment,"Employment agency services, namely, recruitment and placement of personnel",Personnel placement and recruitment services
0048121-0058523,26,pins,Dissimilar,26,collar supports,Small fastening and decorative pins for haberdashery and hair,Haberdashery inserts for maintaining the shape of shirt collars
0058019-0056294,25,footwear uppers,Identical,25,shoe uppers,"Components of footwear, namely, uppers for shoes",Material components forming the upper part of shoes
0047533-0011715,3,laundry bleach,Dissimilar,3,ethereal oils,"Chemical preparations for laundry use, namely, laundry bleach","Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy"
0015146-0051751,35,business administration,Similar,35,online ordering services,"Professional services relating to the management, organization, and administration of businesses",Services for facilitating online ordering of goods or services
0011705-0071841,5,vitamin preparations,Similar,5,pharmaceutical preparations,Dietary supplements and pharmaceutical preparations containing vitamins,Medicinal pharmaceutical preparations for human or veterinary use
0010187-0046224,9,apparatus for the reproduction of images,Identical,9,digital photo frames,Electronic apparatus for the reproduction of images,Electronic display device for showing digital photographs and images
0011408-0058434,42,computer programming,Identical,42,software development,"Professional technological services, namely, computer programming for the design and development of software",Professional services for software development
0005955-0057417,3,ethereal essences,Similar,3,hair lotions,Ethereal essences for cosmetic and perfumery use,Non-medicated hair lotions for cosmetic purposes
0047583-0050040,9,computers,Similar,42,cloud computing,"Electronic data processing apparatus, namely, computers",Providing cloud computing services
0058062-0020595,16,type [numerals and letters],Dissimilar,16,adhesives for stationery,"Printers' type, namely, numerals and letters",Adhesives for stationery purposes
0057778-0027709,41,teaching,Identical,41,karate instruction,Educational services in the field of teaching,Services for Karate instruction
0012583-0046472,29,jellies for food,Low similar,29,"vegetables, cooked",Edible fruit jellies for food,Edible vegetable foodstuffs prepared by cooking
0014332-0031547,29,powdered milk,Dissimilar,30,coffee,Dehydrated milk powder for food purposes,"Coffee, namely roasted or ground coffee beans for beverage preparation"
0057908-0011715,3,perfumes,Similar,3,ethereal oils,"Fragrant liquid preparations, namely, perfumes","Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy"
0073918-0047803,9,scientific and laboratory devices for treatment using electricity,Dissimilar,11,sun tanning appliances,Electrical scientific and laboratory apparatus for treatment,Electrical appliances for sun tanning
0048076-0040009,44,human healthcare services,Identical,44,health hydro services,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care",Services of a health hydro for therapeutic and wellness purposes
0030502-0039007,3,cosmetics,Identical,3,eye wrinkle lotions,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic lotion for reducing eye wrinkles
0002359-0030240,41,sporting activities,Dissimilar,41,subtitling,Services for organizing and conducting sporting activities and events,Subtitling services for audiovisual content
0058666-0057996,11,lighting apparatus,Identical,11,halogen light bulbs,Electrical apparatus for producing and emitting light,Halogen light bulbs [light sources]
0047110-0001403,41,gambling services,Identical,41,providing casino facilities [gambling],Entertainment services in the nature of gambling,Providing casino facilities for gambling entertainment
0044067-0007421,12,cigar lighters for automobiles,Dissimilar,9,phonograph records,Cigar lighters specifically adapted for use in automobiles,Discs for analog sound recordings [phonograph records]
0046703-0059323,36,accident insurance underwriting,Identical,36,insurance underwriting,Underwriting services for accident insurance,"Financial services, namely, insurance underwriting"
0013151-0000462,30,flour,Dissimilar,30,artificial coffee,Milled grain flour for food preparation,Artificial coffee [coffee substitute]
0023769-0002890,29,meat extracts,Dissimilar,29,apple purée,Meat extracts for food,Processed apple purée for food consumption
0047798-0047922,11,filters for industrial and household use,Dissimilar,21,cosmetic and toilet utensils,Filtering apparatus and components for industrial and household use,"Handheld implements and tools for cosmetic application and personal hygiene, such as combs, sponges, and cosmetic brushes"
0024818-0029091,7,"motors, other than for land vehicles",Dissimilar,7,valves [parts of machines],"Power-generating motors and engines, excluding those for land vehicles",Mechanical valves being parts of machines
0047666-0047776,5,dietary supplements and dietetic preparations,Dissimilar,10,medical and veterinary apparatus and instruments,Nutritional chemical preparations for dietary supplementation and dietetic purposes for humans and animals,Physical apparatus and instruments for medical and veterinary purposes
0006983-0048099,9,apparatus for the transmission of images,Dissimilar,9,apparatus and instruments for regulating electricity,Electronic apparatus for the transmission of visual images and data,Electrical apparatus and instruments for regulating electricity
0001646-0015006,16,"bags [envelopes, pouches] of paper or plastics, for packaging",Dissimilar,16,printed matter,"Flexible containers of paper or plastics for wrapping and packaging goods (e.g., bags, envelopes, pouches)","Paper or cardboard articles bearing text, images, or designs produced by printing"
0020735-GSCSup-0133796,37,construction,Similar,37,demolition,Construction services for buildings and infrastructure,Demolition services for buildings and structures
0047583-0075351,9,computers,Similar,9,usb hubs,"Electronic data processing apparatus, namely, computers","Electronic USB hubs, for expanding the number of USB ports for connecting computer peripherals"
0045401-0044989,35,demonstration of goods,Identical,35,sales demonstration [for others],Demonstration services for the promotion of goods,Sales demonstration services for others
0000434-0006231,30,tapioca,Dissimilar,31,"fruit, fresh",Edible tapioca [foodstuff],Fresh fruit (unprocessed)
0030502-0075592,3,cosmetics,Identical,3,body and facial creams [cosmetics],Non-medicated cosmetics for beauty and personal care,Non-medicated topical cosmetic creams for moisturizing and enhancing the appearance of the body and face
0058525-0056026,14,jewellery,Similar,14,decorative boxes made of precious metal,Decorative articles for personal adornment,Ornamental containers crafted from precious metal for decorative purposes.
0058209-0059215,2,binding preparations for paints,Similar,2,varnishes,Chemical binding preparations for use in paints,Transparent protective and decorative chemical coating preparations in the nature of varnishes
0040409-0047961,29,edible oils and fats,Dissimilar,30,"processed grains, starches, and goods made thereof, baking preparations and yeasts",Oils and fats for human consumption,"Processed grains, starches, and goods made thereof, including flour, pasta, tapioca, and sago, as well as baking preparations and yeasts."
0021238-0031485,7,machine tools,Dissimilar,7,steam condensers [parts of machines],"Industrial machinery, namely, machine tools",Steam condensers being parts of machines
0011714-0057908,3,laundry soaking preparations,Dissimilar,3,perfumes,"Chemical preparations for laundry use, namely, laundry soaking preparations","Fragrant liquid preparations, namely, perfumes"
0001925-0072530,4,flux oils,High similar,4,industrial lubricants,Industrial chemical oils used as flux or viscosity modifiers,Lubricants for industrial applications
0057763-0069001,41,organization of competitions [education or entertainment],Identical,41,arranging of competitions via the internet,Organization and management of educational or entertainment competitions,Services for arranging competitions via the Internet
0059527-0059009,3,abrasives,Dissimilar,5,dental impression materials,"Chemical or mineral preparations, namely, abrasives for grinding, polishing and cleaning",Preparations for making dental impressions
0057058-0035236,9,spectacles,Low similar,9,spectacle chains,Spectacles for vision correction,Chains for holding spectacles
0024536-0047668,5,breast-nursing pads,Identical,5,absorbent articles for personal hygiene,Absorbent sanitary pads for breast-nursing purposes,Absorbent articles for personal sanitary hygiene
0034708-0006231,30,tea-based beverages,Dissimilar,31,"fruit, fresh",Beverages primarily made from tea for consumption,Fresh fruit (unprocessed)
0044168-0047908,22,"padding materials, not of rubber, plastics, paper or cardboard",Dissimilar,22,"bags and sacks for packaging, storage and transport","Padding, cushioning and stuffing materials, not of rubber, plastics, paper or cardboard","Bags and sacks, not of paper, cardboard, rubber or plastics, for packaging, storage, and transport of materials in bulk."
0030502-0057061,3,cosmetics,Identical,3,sun-tanning gels,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic sun-tanning gels for skin application
0057451-0045403,25,coats,Dissimilar,18,whips,Coats [clothing],"Flexible striking device, namely whips, for equestrian use"
0035500-0014541,36,rental of apartments,Dissimilar,44,animal healthcare services,"Real estate services, namely, rental of apartments",Veterinary and hygienic care services for animals
0009687-0027889,30,flour ready for baking,Dissimilar,30,honey,Prepared flour for baking,Natural edible honey
0072818-0072771,18,animal skins,Similar,24,fabrics,"Animal skins and hides, unprocessed or partly processed",Textile fabrics
0059484-0072421,30,cakes,Dissimilar,30,spices,"Baked desserts, namely, cakes",Aromatic plant-derived spices for food flavoring
0031534-0041029,35,telemarketing services,Identical,35,"advertising, marketing and promotional services",Telemarketing services [for sales and advertising],"Business services for advertising, marketing, and promotion"
0024818-0036847,7,"motors, other than for land vehicles",Dissimilar,7,"door openers, electric","Power-generating motors and engines, excluding those for land vehicles",Electric door opening mechanisms
0047648-0047918,3,essential oils and aromatic extracts,Dissimilar,21,gardening articles,"Natural essential oils and aromatic extracts for perfumery, cosmetics, and aromatherapy","Non-mechanized gardening implements and containers, included in Class 21, such as watering cans and plant pots"
0038281-0019852,7,"door closers, electric",Dissimilar,9,sound reproduction apparatus,Electrically-operated mechanical devices for automatically closing doors,Electronic apparatus for the reproduction of sound
0012197-0072796,30,mixtures for making water ices,Dissimilar,30,molasses for food,Food mixtures for making water ices,Molasses for human food consumption
0046772-0047026,30,sauces [condiments],Dissimilar,30,tea,Edible sauces for use as condiments,Dried tea leaves for making beverages
0047788-0048072,10,orthopedic and mobility aids,Dissimilar,44,"agriculture, aquaculture, horticulture and forestry services",Orthopaedic articles and assistive devices for mobility,"Professional services in the fields of agriculture, aquaculture, horticulture, and forestry"
0059246-0048101,26,"hair curlers, other than hand implements",Dissimilar,9,apparatus and instruments for conducting electricity,Non-hand-operated devices and rollers for curling hair,Electrical apparatus and instruments for conducting electricity
0047314-0048106,7,vending machines,Dissimilar,9,life-saving apparatus and instruments,"Automatic machines for dispensing products, namely, vending machines",Safety and emergency apparatus and instruments for life-saving
0059171-0013440,3,soap,Similar,3,facial cleansing milk,Preparations in the nature of soap for cleaning and washing,Non-medicated cosmetic preparations in the form of milk for facial cleansing
0072798-0040815,31,animal foodstuffs,Dissimilar,31,"poultry, live",Edible foodstuffs for animal consumption,Live poultry
0072796-0006231,30,molasses for food,Dissimilar,31,"fruit, fresh",Molasses for human food consumption,Fresh fruit (unprocessed)
0024818-0023752,7,"motors, other than for land vehicles",Dissimilar,7,shock absorber plungers [parts of machines],"Power-generating motors and engines, excluding those for land vehicles","Plungers, being mechanical parts of shock absorbers for machines"
0013526-0057795,30,sandwiches,Dissimilar,30,ice for refreshment,Prepared sandwiches for consumption,Frozen water for refreshment
0030862-0031511,9,magnetic data media,High similar,9,sound recording apparatus,Blank magnetic data media for recording and storage,Electronic apparatus for sound recording
0047744-0047797,9,"magnets, magnetizers and demagnetizers",Dissimilar,11,personal heating and drying implements,"Physical articles and apparatus, namely magnets, magnetizers, and demagnetizers",Electric implements and apparatus for personal heating and drying
0015444-0018819,3,beauty masks,Dissimilar,18,saddlery,Non-medicated cosmetic beauty masks,Saddlery [equestrian equipment]
0048109-0013120,12,apparatus for locomotion by air,Dissimilar,12,axle journals,Vehicles and apparatus for locomotion by air,Cylindrical bearing surfaces for providing a rotating surface for axles within vehicle bearings
0073976-0027889,30,"food flavourings, other than essential oils",Dissimilar,30,honey,Non-essential oil food flavourings,Natural edible honey
0047437-0014519,32,ginger beer,High similar,32,non-alcoholic beer,Non-alcoholic ginger beer,Non-alcoholic malt beer
0010627-0057889,18,imitation leather,Dissimilar,12,luggage carriers for vehicles,"Imitation leather, being a synthetic material for manufacturing purposes",Luggage carrying racks for vehicles
0047666-0034798,5,dietary supplements and dietetic preparations,Dissimilar,42,technical research,Nutritional chemical preparations for dietary supplementation and dietetic purposes for humans and animals,Professional technical research services
0047736-0047795,9,"measuring, detecting and monitoring instruments, indicators and controllers",Dissimilar,11,refrigerating and freezing equipment,"Physical apparatus and instruments for measuring, detecting, monitoring, indicating, and controlling",Apparatus and equipment for refrigerating and freezing
0041652-0058838,18,bags,Identical,18,travel baggage,Carrying bags and luggage,Containers for storing and transporting personal effects during travel [luggage]
0032422-0078171,9,meteorological balloons,Identical,9,measuring devices,Scientific meteorological balloons for collecting atmospheric data,Scientific and technical measuring instruments and apparatus
0073976-0047026,30,"food flavourings, other than essential oils",Low similar,30,tea,Non-essential oil food flavourings,Dried tea leaves for making beverages
0013808-0066841,20,beds,Similar,20,bed frames of metal,Furniture in the nature of beds for sleeping,Metal frameworks for beds
0037696-0028966,9,wrist rests for use with computers,Dissimilar,9,nautical apparatus and instruments,"Ergonomic wrist rests, being computer peripheral accessories","Apparatus and instruments for nautical navigation, measurement, and communication"
0040700-0012566,5,air deodorizing preparations,Similar,11,air deodorizing apparatus,"Chemical preparations for deodorizing the air, for sanitary purposes",Air deodorizing apparatus
0029473-0043457,8,razors,Dissimilar,8,bits [parts of hand tools],Hand-operated razors for shaving,Interchangeable bits for hand-operated tools
0034938-0039965,6,frameworks of metal,Similar,6,ladder supports of metal,Metal frameworks for construction and structural support,Metal supports for stabilizing and bracing ladders
0036724-0020035,26,artificial flowers,Dissimilar,26,human hair,Artificial flowers for decorative purposes,Raw human hair for making wigs and hair extensions
0047650-0024689,3,body cleaning and beauty care preparations,Identical,3,sun blocking preparations [cosmetics],Non-medicated chemical preparations for body cleansing and beauty care,Non-medicated sun blocking cosmetic preparations
0059490-0023046,43,services for providing food and drink,Identical,43,arranging of wedding receptions [food and drink],"Hospitality services, namely, services for providing food and drink","Services for providing food and drink, namely, arranging wedding receptions with food and drink provision"
0057536-0057908,3,paint stripping preparations,Dissimilar,3,perfumes,Chemical preparations for stripping paint,"Fragrant liquid preparations, namely, perfumes"
0023723-0072718,5,dietetic substances adapted for medical use,Dissimilar,31,litter for animals,Dietetic preparations adapted for medical use,"Animal care products, namely, litter for animals"
0041447-0040118,22,sails,Dissimilar,24,table covers,Flexible fabric sails for watercraft,"Household linen, namely, table covers"
0044151-0031761,29,"vegetables, dried",Dissimilar,29,"fish, not live",Dried vegetables for human consumption,"Fish, not live, for human consumption"
0048110-0057889,12,apparatus for locomotion by land,Similar,12,luggage carriers for vehicles,Vehicles and apparatus for locomotion by land,Luggage carrying racks for vehicles
0042719-0033519,14,alloys of precious metal,Dissimilar,14,watch bands,Unwrought or semi-wrought alloys containing precious metals,"Watch bands, being straps for securing watches to the wrist"
0013934-0071842,5,adjuvants for medical purposes,Identical,5,pharmaceuticals,Pharmaceutical adjuvants for enhancing medical preparations,Medicinal substances and drugs (pharmaceuticals)
GSCSup-0050126-GSCSup-0050166,3,cosmetic hand care products,Similar,3,skin pomades,Non-medicated preparations for cosmetic hand care,"Non-medicated cosmetic preparations, namely, skin pomades"
0048067-0068954,41,publishing and reporting,Identical,41,publication of consumer magazines,"Services for publishing and reporting, including news and literary works",Publishing services for consumer magazines
0046472-0018418,29,"vegetables, cooked",Dissimilar,30,propolis,Edible vegetable foodstuffs prepared by cooking,Propolis for food purposes
0024538-0047666,5,fish meal for pharmaceutical purposes,Identical,5,dietary supplements and dietetic preparations,Processed fish meal for pharmaceutical applications,Nutritional chemical preparations for dietary supplementation and dietetic purposes for humans and animals
0009373-0058059,25,suits,Dissimilar,16,printing type,Suits [clothing],"Materials for printing, namely, printing type"
0042719-0066388,14,alloys of precious metal,Identical,14,silver alloys,Unwrought or semi-wrought alloys containing precious metals,Metallic alloys primarily composed of silver for use as precious materials
0003316-0077221,9,fuses,Identical,9,electrical and electronic components,Electrical fuses for circuit protection,Discrete electrical and electronic components for apparatus and instruments
0012048-0013151,30,baking powder,Similar,30,flour,Baking powder for use as a leavening agent,Milled grain flour for food preparation
0014354-0032170,7,transmission components (except for land vehicles),Dissimilar,7,machine fly-wheels,"Mechanical components for power transmission in machines and engines, except for land vehicles","Fly-wheels, being mechanical components for machines (excluding land vehicles)"
0059256-0072797,29,meat,Dissimilar,31,foodstuffs and fodder for animals,Edible animal flesh for human consumption,Prepared foodstuffs and fodder for animal consumption
0011715-0023389,3,ethereal oils,Identical,3,scented oils used to produce aromas when heated,"Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy",Scented essential oils for producing aromas when heated
0006311-0046364,9,optical glasses,Dissimilar,25,clothing,Optical lenses for scientific or vision correction purposes,Garments and articles of dress for covering the human body
0035442-0040761,30,mustard,Dissimilar,29,eggs,"Prepared food condiment, namely, mustard",Eggs for food
0047663-0009700,5,pest control preparations and articles,Dissimilar,10,sex aids,"Chemical and biological preparations and articles for pest control, including insecticides, rodenticides, and repellents",Sex aids for medical purposes
0033491-0019852,7,electrical apparatus for sealing plastics [packaging],Dissimilar,9,sound reproduction apparatus,Electrical apparatus for sealing plastic packaging materials,Electronic apparatus for the reproduction of sound
0013151-0018418,30,flour,Dissimilar,30,propolis,Milled grain flour for food preparation,Propolis for food purposes
0058062-0006149,16,type [numerals and letters],Similar,16,"typewriters, electric or non-electric","Printers' type, namely, numerals and letters","Typewriters, electric or non-electric, for office use"
0058962-0010627,25,headgear,Dissimilar,18,imitation leather,Articles of clothing for wearing on the head,"Imitation leather, being a synthetic material for manufacturing purposes"
0029504-0073992,29,milk,Dissimilar,29,"salmon, not live",Milk for food and beverage consumption,"Prepared salmon, not live, for food"
0020959-0031892,13,explosives,Dissimilar,13,cleaning brushes for firearms,Explosive chemical substances,Cleaning brushes specifically adapted for firearms
0042595-0030979,26,spangles for clothing,Dissimilar,26,hooks [haberdashery],Decorative spangles for clothing ornamentation,Hooks being haberdashery fasteners
0030502-0044026,3,cosmetics,Dissimilar,8,needle files,Non-medicated cosmetics for beauty and personal care,Hand-operated needle files for fine finishing work
0072422-0006231,30,seasonings,Dissimilar,31,"fruit, fresh",Food seasonings for enhancing flavor,Fresh fruit (unprocessed)
0048097-0048107,9,apparatus and instruments for switching electricity,Dissimilar,9,scientific apparatus and instruments,Electrical apparatus and instruments for switching electricity,Technical apparatus and instruments for scientific research and analysis
0047026-0029504,30,tea,Dissimilar,29,milk,Dried tea leaves for making beverages,Milk for food and beverage consumption
0031535-0059496,36,provident fund services,Identical,36,investment services,Financial services for provident fund management,"Financial services, namely, investment services"
0057536-0011715,3,paint stripping preparations,Dissimilar,3,ethereal oils,Chemical preparations for stripping paint,"Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy"
0008236-0023310,10,veterinary apparatus and instruments,Dissimilar,5,antiparasitic collars for animals,Apparatus and instruments specifically designed for veterinary medical and surgical purposes.,Collars for animals impregnated with antiparasitic preparations
0043508-GSCSup-0064776,20,furniture,Identical,20,cradles for babies,Movable articles of furniture,Furniture in the nature of cradles for babies
0003653-0040920,29,aloe vera prepared for human consumption,Dissimilar,30,sago,Prepared aloe vera for human consumption [foodstuff],"Starchy food product, namely sago"
0012298-0046530,12,steering wheels,Dissimilar,11,hot water bottles,Steering wheels for vehicles,"Household apparatus for heating, namely, hot water bottles"
0002542-0007773,15,keys for musical instruments,Similar,15,musical instruments,"Operating components, namely, keys, for controlling the pitch or sound of musical instruments",Physical musical instruments
0030502-0009077,3,cosmetics,Identical,3,dry shampoos,Non-medicated cosmetics for beauty and personal care,Non-medicated dry shampoos
0012583-0047463,29,jellies for food,Similar,29,dried fruit,Edible fruit jellies for food,"Preserved food products, namely, dried fruit"
0017422-0058361,11,lamps,Identical,11,lights for automobiles,Lighting apparatus,Electrical lighting devices for automobiles
0025613-0067711,33,alcoholic beverages (except beer),Identical,33,liquor-based aperitifs,"Potable alcoholic beverages, excluding beer",Alcoholic aperitifs with a liquor base
0058632-0048057,39,travel arrangement,Identical,39,sightseeing and excursion services,Service for organizing and coordinating travel plans for individuals or groups,Travel arrangement services for sightseeing and excursions
GSCSup-0145016-0000688,38,streaming of audio content via a global computer network,Similar,38,rental of message sending apparatus,"Telecommunications services, namely, streaming of audio content via a global computer network",Rental services for telecommunications apparatus used in sending messages
0042465-0015006,38,telecommunication services,Dissimilar,16,printed matter,Services for transmitting and receiving information via telecommunication networks,"Paper or cardboard articles bearing text, images, or designs produced by printing"
0024818-0036014,7,"motors, other than for land vehicles",Dissimilar,7,drill chucks [parts of machines],"Power-generating motors and engines, excluding those for land vehicles","Mechanical components for power-operated machines, namely, drill chucks"
0045910-0059214,2,coatings,Identical,2,lacquers,Chemical preparations in the nature of protective and decorative coatings,Protective and decorative chemical coating preparations in the nature of lacquers
0030502-0019052,3,cosmetics,Similar,44,cosmetic treatment,Non-medicated cosmetics for beauty and personal care,Professional beauty care services for cosmetic treatment
0047262-0070200,29,jams,Dissimilar,30,confectionery,"Preserved fruit spreads, namely, jams",Edible sweet confectionery goods
0035881-0072688,12,apparatus for locomotion by water,Similar,12,screws [propellers] for ships,Vehicles and apparatus for locomotion by water,Propellers for marine vessels
0021410-0006149,16,notepads,Dissimilar,16,"typewriters, electric or non-electric","Stationery items, namely, notepads","Typewriters, electric or non-electric, for office use"
0058962-0011101,25,headgear,Dissimilar,25,tips for footwear,Articles of clothing for wearing on the head,Protective or decorative tips for footwear
0009172-0012566,11,apparatus for ventilating,Similar,11,air deodorizing apparatus,Ventilation apparatus,Air deodorizing apparatus
