Original_Term,Nature,Purpose,Expanded_Name,Logic_Trace
Business appraisals for financial valuation,Financial appraisal service,Determining the monetary value of businesses.,Financial appraisal services for valuing businesses,"Class 36 covers ""Financial, monetary and banking services."" This indicates that 'business appraisals' refers to a professional financial service, which aligns with meaning 1. Meanings 2 and 3 refer to products (reports, software) which do not fit Class 36."
Valuation of portfolios of securities,Financial valuation service,Assessing the monetary worth of portfolios of financial securities.,Financial valuation services for portfolios of securities,"Class 36 is for ""Financial, monetary and banking services."" Therefore, 'valuation of portfolios of securities' refers to a financial service for assessing the worth of investment portfolios, which aligns with meaning 1. Meanings 2 and 3 are products, not services appropriate for Class 36."
Financial evaluation and analysis,Financial advisory and assessment services,Evaluating and analyzing financial data and performance.,Professional services for financial evaluation and analysis,"Class 36 covers ""Financial, monetary and banking services."" This context clearly indicates that 'financial evaluation and analysis' refers to professional services, aligning with meaning 1. Meanings 2 and 3 are products, not services suitable for Class 36."
"Flavourings, other than essential oils, for tobacco",Chemical compositions,Imparting taste and aroma to tobacco products.,"Chemical compositions, other than essential oils, for imparting flavor to tobacco products","Class 34 is specifically for ""Tobacco and tobacco substitutes; smokers' articles."" The term explicitly states 'for tobacco' and 'other than essential oils', directly supporting meaning 1. Meanings 2 and 3 are for different uses/classes (e.g., Class 3 for essential oils, Class 30 for food flavorings)."
Chessboards,Game board,Playing the game of chess.,Game boards for playing chess,"Class 28 covers ""Games, toys and playthings."" A chessboard is an essential article for playing the game of chess, fitting directly into this category as a plaything or game article, aligning with meaning 1. Meanings 2 and 3 are not relevant to Class 28."
Swings,Playground apparatus,Providing recreational swinging motion for children.,Playground apparatus for recreational swinging,"Class 28 covers ""Games, toys and playthings; gymnastic and sporting articles."" Playground equipment for swinging, as described in meaning 1, clearly falls under 'toys and playthings'. Meanings 2 and 3 refer to actions or abstract concepts, not articles of Class 28."
Faux fur,Textile material,"Imitating animal fur for use in various products, including those related to leather goods and animal accessories.",Textile material imitating animal fur for use in leather goods and animal accessories,"Class 18 includes ""Leather and imitations of leather; animal skins and hides."" Faux fur is an imitation of animal fur, used as a material, fitting within the broader category of substitutes for animal hides, aligning with meaning 1. Meaning 2 would typically be Class 25 (clothing) unless for animals within Class 18. Meaning 3 is a toy (Class 28)."
Flavored beers,Alcoholic beverage,Being consumed as a flavored alcoholic drink.,"Alcoholic beverages, namely, flavored beers","Class 32 explicitly lists ""Beers."" Flavored beers are a specific type of beer, directly fitting this category as an alcoholic beverage, aligning with meaning 1. Meaning 3 refers to an ingredient, not the final beverage."
Nonelectric food mixers,Manually operated kitchen utensil,Mixing food ingredients.,Manually operated kitchen utensils for mixing food,"Class 21 covers ""Household or kitchen utensils and containers."" A nonelectric food mixer, such as a whisk or hand-cranked device, fits perfectly as a kitchen utensil for household use, aligning with meaning 1. Meaning 2 would be Class 7 (machines), and meaning 3 refers to parts."
Electronic publications nondownloadable,Online information provision service,Providing access to electronic content that is streamed or viewed online but not downloaded.,Online services for providing non-downloadable electronic publications,"Class 41 covers ""Education; providing of training; entertainment; sporting and cultural activities."" Providing access to non-downloadable electronic publications is an online service related to information provision, which aligns with educational or entertainment services, thus matching meaning 1. Meaning 2 would be Class 9 if recorded/downloadable or Class 16 if printed. Meaning 3 is a product (Class 9)."
Non downloadable online publication,Online content access service,Providing access to publications that are viewed online and cannot be downloaded.,Online services for providing non-downloadable publications,"Class 41 is for ""Education; providing of training; entertainment; sporting and cultural activities."" The provision of a non-downloadable online publication is a service, fitting under education or entertainment, aligning with meaning 1. Meaning 2 would typically be Class 9 (if downloadable digital content) or Class 16 (if printed). Meaning 3 is Class 9."
Plastic materials for packaging not included in other classes,"Plastic sheets, films, and bags",Wrapping and packaging various goods.,"Plastic sheets, films and bags for wrapping and packaging goods (not included in other classes)","Class 16 specifically includes ""plastic sheets, films and bags for wrapping and packaging."" This precisely matches meaning 1. Meaning 2 (plastic containers) would typically be Class 20, and meaning 3 (raw materials) would be Class 1. The exclusion clause reinforces the specificity."
Building of commercial properties,Construction service,Erecting commercial buildings.,Construction services for commercial properties,"Class 37 explicitly covers ""Construction services."" This term clearly refers to the service of constructing commercial buildings, aligning with meaning 1. Meaning 2 (real estate) would be Class 36, and meaning 3 (architectural design) would be Class 42."
Building of multistorey car parks,Construction service,Erecting multi-story car parking structures.,Construction services for multi-story car parks,"Class 37 explicitly covers ""Construction services."" This term refers to the service of constructing multi-story car parking facilities, aligning with meaning 1. Meaning 2 (the facility itself) is a result, not a service. Meaning 3 (management services) would be Class 35 or 39."
Commercial building construction,Construction service,Erecting commercial buildings.,Construction services for commercial buildings,"Class 37 explicitly covers ""Construction services."" This term refers to the service of constructing commercial buildings, aligning with meaning 1. Meaning 2 (design) would be Class 42, and meaning 3 (materials) would be Class 19."
Breakfast cereals,Processed food product,Being consumed as a breakfast meal.,Prepared food products made from cereals for breakfast,"Class 30 mentions ""flour and preparations made from cereals."" Breakfast cereals are a prepared food product made from cereals for consumption, aligning perfectly with meaning 1. Meaning 2 refers to raw agricultural products (Class 31). Meaning 3 is too broad."
Point-to-point communications equipment,Electronic apparatus,Facilitating direct and dedicated data or signal transmission between two specific points.,Electronic apparatus for point-to-point data and signal transmission,"Class 9 covers ""apparatus and instruments for ... transmitting ... data."" This refers to tangible electronic apparatus for communication, aligning with meaning 1. Meaning 2 (service) would be Class 38. While software is in Class 9, the term specifies 'equipment'."
Electrical and electronic components,Discrete parts or sub-assemblies,"Conducting, switching, transforming, regulating, or processing electricity, sound, images, or data within larger electrical and electronic systems.",Discrete electrical and electronic components for apparatus and instruments,"Class 9 covers a broad range of ""apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data."" Components are the discrete parts that constitute these apparatus, fitting directly under Class 9, aligning with meaning 1. Meaning 2 refers to complete devices, and meaning 3 refers to services (Class 37)."
Medical dressings,Sterile materials,Covering and protecting wounds or injuries for medical treatment.,Sterile medical materials for dressing wounds and injuries,"Class 5 explicitly lists ""plasters, materials for dressings."" This perfectly matches the interpretation of materials for covering and protecting wounds for medical purposes, aligning with meaning 1. Meanings 2 and 3 are irrelevant to Class 5."
Substitutes for coffee,Beverage preparations,Serving as an alternative to coffee for consumption.,Beverage preparations used as substitutes for coffee,"Class 30 includes ""Coffee, tea, cocoa and substitutes therefor."" This directly indicates that 'substitutes for coffee' refers to beverage preparations designed to replace coffee, aligning with meaning 1. Meanings 2 and 3 are for different classes/concepts (Class 5 for pharmaceuticals, Class 43 for services)."
Arranging and conducting conferences and seminars,Event organization and management services,"Providing educational, training, or informational forums through conferences and seminars.",Services for arranging and conducting educational and training conferences and seminars,"Class 41 covers ""Education; providing of training; entertainment."" The act of arranging and conducting conferences and seminars falls squarely within providing education or training services, aligning with meaning 1. Meaning 2 (content) could be Class 9 or 16, and meaning 3 (venues) would be Class 43."
Arranging of conferences,Event organization services,Coordinating and organizing conferences.,Services for arranging conferences,"Class 41 covers ""Education; providing of training; entertainment; sporting and cultural activities."" The 'arranging' of conferences refers to the service of organizing these events, fitting under educational or cultural activities, aligning with meaning 1. Meaning 2 (design) would be Class 42, and meaning 3 (equipment provision) could be Class 37 or 40."
Conducting of seminars and congresses,Educational and training services,Delivering and managing seminars and congresses for educational or informational purposes.,Services for conducting educational and training seminars and congresses,"Class 41 covers ""Education; providing of training; entertainment; sporting and cultural activities."" 'Conducting' seminars and congresses clearly refers to the service of delivering and managing these events for educational or informational purposes, aligning with meaning 1. Meaning 2 (content) could be Class 9 or 16."
Arrangement of conferences for recreational purposes,Event organization service,Organizing conferences specifically for recreational and entertainment purposes.,Services for arranging conferences for recreational purposes,"Class 41 includes ""entertainment; sporting and cultural activities."" The 'arrangement' of conferences for recreational purposes directly fits into the entertainment or cultural activities services, aligning with meaning 1. Meaning 2 (activities) could be Class 41 if services, but the term focuses on arrangement. Meaning 3 (venues) would be Class 43."
Arrangement of seminars for recreational purposes,Event organization service,Organizing seminars specifically for recreational and entertainment purposes.,Services for arranging seminars for recreational purposes,"Class 41 includes ""entertainment; sporting and cultural activities."" The 'arrangement' of seminars for recreational purposes directly fits into the entertainment or cultural activities services, aligning with meaning 1. Meaning 2 refers to content, and meaning 3 refers to materials."
Arrangement of conventions for recreational purposes,Event organization service,Organizing conventions specifically for recreational and entertainment purposes.,Services for arranging conventions for recreational purposes,"Class 41 includes ""entertainment; sporting and cultural activities."" The 'arrangement' of conventions for recreational purposes directly fits into the entertainment or cultural activities services, aligning with meaning 1. Meaning 2 (exhibits) depends on the nature of the goods. Meaning 3 (travel services) would be Class 39."
Arranging of seminars relating to business,Event organization and training service,Organizing seminars to provide education or training related to business topics.,Services for arranging seminars relating to business education and training,"Class 41 covers ""Education; providing of training."" The 'arranging' of seminars relating to business clearly falls under providing training or education services, aligning with meaning 1. Meaning 2 (consulting) would be Class 35 or 36, and meaning 3 (marketing) would be Class 35."
Arranging of conventions for training purposes,Event organization service,Facilitating large-scale training and educational gatherings,Event organization services for training conventions,"Class 41 explicitly covers 'providing of training' and 'education'. The service of 'arranging of conventions for training purposes' directly aligns with facilitating educational and training activities, not the physical venue (Class 36/43) or just content (Class 41 if online, or 9/16 if recorded/printed)."
Arranging of conferences relating to business,Conference organization service,"Facilitating gatherings for business discussions, learning, and networking",Conference organization services relating to business education and training,"Class 41 pertains to 'Education; providing of training; entertainment; sporting and cultural activities'. Business conferences often involve training, education, or knowledge sharing, thus the service of arranging them fits within this class. It is not about the materials themselves (Class 16) or telecommunications (Class 38)."
Conducting of conventions,Event management service,Managing and running formal gatherings for educational or entertainment purposes,Event management services for conventions,"Class 41 covers 'Education; providing of training; entertainment; sporting and cultural activities'. 'Conducting of conventions' refers to the operational management of such events, which often serve educational, informational, or entertainment purposes, fitting the class description."
Arranging and conducting of conferences and congresses,Event organization and management service,"Planning, organizing, and managing large formal meetings for educational, informational, or cultural exchange",Comprehensive event organization and management services for conferences and congresses,"Class 41 explicitly includes 'Education; providing of training'. Conferences and congresses are typically educational or informational events. The 'arranging and conducting' of these events refers to the service of planning and managing them, aligning perfectly with Class 41, not venue rental (Class 36/43) or technology platforms (Class 9/42)."
"Arranging and conducting of conferences, congresses and symposiums",Event organization and management service,"Planning, organizing, and managing formal academic or professional gatherings such as conferences, congresses, and symposiums","Event organization and management services for conferences, congresses, and symposiums","Class 41 covers 'Education; providing of training'. Conferences, congresses, and symposiums are all forms of formal educational or professional gatherings. The service of 'arranging and conducting' them directly falls under providing training or educational activities, not publishing (Class 16/41) or travel services (Class 39)."
"Arranging, conducting and organisation of symposiums",Event organization and management service,"Planning, executing, and overseeing academic or professional symposiums","Event organization, conducting, and management services for symposiums","Class 41 relates to 'Education; providing of training; entertainment; sporting and cultural activities'. Symposiums are typically academic or professional discussions. The 'arranging, conducting and organisation' describes the comprehensive service of managing these educational events, fitting the class perfectly. It's not about content creation (could be Class 41 itself but this is the organization) or advertising (Class 35)."
"Arranging, conducting and organisation of congresses",Event organization and management service,"Planning, executing, and overseeing large formal meetings known as congresses","Event organization, conducting, and management services for congresses","Class 41 includes 'Education; providing of training; entertainment; sporting and cultural activities'. Congresses are often large, formal meetings for discussing specific topics, aligning with educational or informational exchange. The comprehensive service of 'arranging, conducting and organisation' of such events directly falls into this category, not legal (Class 45) or security (Class 45)."
"Arranging, conducting and organisation of conferences",Event organization and management service,"Planning, executing, and overseeing formal meetings known as conferences","Event organization, conducting, and management services for conferences","Class 41 relates to 'Education; providing of training; entertainment; sporting and cultural activities'. Conferences are typically used for education, information dissemination, or professional discussions. The term 'arranging, conducting and organisation' covers the comprehensive service of setting up, running, and managing these events, fitting Class 41, not equipment (Class 9) or publishing (Class 16)."
"Arranging, conducting and organisation of seminars",Educational event organization and management service,"Planning, executing, and overseeing educational or training seminars","Organization, conducting, and management services for educational seminars","Class 41 explicitly covers 'Education; providing of training'. Seminars are a specific type of educational event. This term encompasses the entire process of organizing and running these educational sessions, which directly aligns with the class description. It's not just materials (Class 16 or 9) or a platform (Class 9 or 42)."
Arranging and conducting of conventions,Event organization and management service,"Planning, organizing, and managing large formal gatherings or assemblies",Event organization and management services for conventions,"Class 41 focuses on 'Education; providing of training; entertainment; sporting and cultural activities'. Conventions often fall into these categories (e.g., industry training conventions, fan conventions). This term describes the service of making arrangements and overseeing the operations of such events, which facilitates these activities. It's not venue rental (Class 36/43) or travel services (Class 39)."
Education and instruction services,Professional services,Imparting knowledge and skills through various educational and instructional methods,Professional education and instruction services,"Class 41 is explicitly defined as 'Education; providing of training'. This term directly and broadly describes the core services covered by this class, perfectly aligning with its scope. It's not software (Class 9) but the service itself."
"Loan and credit, and lease-finance services",Financial services,"Providing monetary funds, credit facilities, and asset leasing arrangements","Financial services for loans, credit, and lease financing","Class 36 is explicitly 'Financial, monetary and banking services'. This term directly describes core financial activities related to providing money (loans, credit) and asset financing (lease-finance), fitting the class perfectly. It's not software (Class 9/42) or legal advice (Class 45)."
Manual toothbrushes,Handheld oral hygiene implement,Mechanically cleaning teeth and gums,Non-electric toothbrushes for manual oral hygiene,"Class 21 specifically lists 'brushes, except paintbrushes' and 'articles for cleaning purposes'. A manual toothbrush is a direct example of a brush used for cleaning, thus fitting perfectly within this class. It is distinct from electric toothbrushes, though both are in Class 21."
"Toothbrushes, electric",Power-operated oral hygiene device,Mechanically cleaning teeth and gums using electrical power,Electric toothbrushes for powered oral hygiene,"Class 21 includes 'brushes, except paintbrushes' and 'articles for cleaning purposes'. Despite being electric, it is fundamentally a brush for cleaning teeth. While electrical appliances can be Class 9, the specific nature as a 'brush' for 'cleaning' aligns it with Class 21 where other brushes and cleaning articles are found."
Interdental brushes for cleaning the teeth,Small handheld oral cleaning implement,Cleaning between teeth and along the gumline,Specialized interdental brushes for cleaning teeth,"Class 21 explicitly includes 'brushes, except paintbrushes' and 'articles for cleaning purposes'. Interdental brushes are a specific type of brush designed for cleaning teeth, fitting directly into this description."
Toothbrushes for pets,Oral hygiene implement for animals,Cleaning the teeth of pets,Toothbrushes specifically designed for pet dental hygiene,"Class 21 includes 'brushes, except paintbrushes' and 'articles for cleaning purposes'. A toothbrush for pets, regardless of its user, is still a brush for cleaning purposes, and aligns with other brushes in this class (e.g., pet grooming brushes are also typically Class 21)."
Secretarial and clerical services,Professional administrative support services,"Performing general office administration, clerical tasks, and executive assistance",Professional secretarial and clerical administrative services,"Class 35 explicitly lists 'office functions' and 'business management, organization and administration'. Secretarial and clerical services are fundamental administrative and office functions, perfectly matching the class description."
"Data processing, systematisation and management",Professional business services,"Organizing, processing, and maintaining business data for administrative efficiency","Business data processing, systematization, and management services","Class 35 covers 'business management, organization and administration; office functions'. Data processing, systematization, and management are essential administrative and organizational tasks for businesses, directly falling under these categories. It's the service, not the software (Class 9) or deep analytics (Class 42)."
Electronic transmission of news information data of all kinds,Telecommunications service,Facilitating the digital sending and reception of news information and various data types,Telecommunications services for the electronic transmission of news and information data,"Class 38 is defined as 'Telecommunications services'. The electronic transmission of any kind of data, including news information, is a core telecommunication service, fitting precisely within this class. It's not news reporting (Class 41) or software (Class 9)."
Weight measuring instruments,Scientific or industrial apparatus,Determining the mass or weight of objects,Scientific and industrial instruments for measuring weight,"Class 9 explicitly lists 'weighing, measuring... apparatus and instruments'. This term is a direct match for a type of apparatus listed in the class. It is distinct from calibration services (Class 37/42) or exercise equipment (Class 28)."
Lasers,Optical apparatus,"Emitting coherent light for scientific, industrial, medical, or other technical applications",Scientific and industrial laser apparatus,"Class 9 covers 'scientific, optical... apparatus and instruments'. Lasers, as devices that produce a specific type of light for various technical and scientific applications, fit within this broad category of scientific and technical apparatus. It is not a service (e.g., Class 44 for beauty)."
Audio- and video-receivers,Electronic apparatus,"Receiving, processing, and reproducing audio and video signals",Electronic apparatus for audio and video signal reception,"Class 9 includes 'apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data'. Audio- and video-receivers are electronic apparatus specifically designed for reproducing or processing sound and images, fitting this description. It's not streaming services (Class 38/41) or just antennas (also Class 9 but more specific)."
Helmet communications systems,Electronic communication apparatus,Enabling voice or data communication while wearing a helmet,Electronic communication systems integrated into helmets,"Class 9 covers 'apparatus and instruments for... transmitting, reproducing or processing sound, images or data'. Communication systems are electronic devices designed for transmitting sound and data, fitting this category. The focus is on the communication system, not the helmet (which, if protective, would also be Class 9, or Class 28 for sports). It's not installation services (Class 37)."
Ear phones,Electronic audio output device,Reproducing sound directly to the user's ears,Electronic earphones for audio reproduction,"Class 9 explicitly mentions 'apparatus and instruments for recording, transmitting, reproducing or processing sound... data'. Earphones are devices for reproducing sound, thus fitting this category. While related to communication, the core function is audio output. Hearing protection (if not communication) could be Class 9 or 10, but 'ear phones' specifically denotes audio output."
Measuring devices,Scientific or technical apparatus,"Quantifying physical properties, dimensions, or other parameters",Scientific and technical measuring instruments and apparatus,"Class 9 directly includes 'measuring... apparatus and instruments'. This term is broad but perfectly matches the class description for any instrument used for measurement. It is not the service of measurement (Class 42) or software (Class 9 if downloadable, but the physical device is implied here)."
Data storage devices and media,Electronic hardware and physical media,"Recording, storing, and retrieving digital data",Electronic data storage devices and recording media,"Class 9 includes 'apparatus and instruments for recording... data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media'. This term directly encompasses the items described in the class, specifically physical hardware and media for storing digital information. It's not cloud services (Class 38/42) or software alone (though software is also in Class 9)."
Business analysis,Professional consulting service,"Evaluating business processes, performance, and strategies to identify improvements",Professional business analysis and consultancy services,"Class 35 covers 'business management, organization and administration'. Business analysis is a core professional service for evaluating business processes, performance, and strategies to identify improvements, thus falling under business management and administration. It's not software (Class 9) or reports as a product (Class 16/9, but the *service* is key here)."
Conducting fitness classes,Instructional and recreational service,Providing guided physical exercise and training sessions to individuals or groups,Provision of fitness and physical exercise instructional classes,"Class 41 explicitly includes 'providing of training' and 'sporting activities'. Conducting fitness classes is a direct form of providing training and engaging in sporting/physical activities, perfectly matching the class scope. It's not equipment (Class 28) or recorded media (Class 9)."
"Rental of sports equipment, except vehicles",Rental service,Providing sports equipment for temporary use to facilitate participation in sporting activities,Rental services for sports equipment (excluding vehicles) for recreational and training activities,"Class 41 includes 'sporting and cultural activities'. The rental of equipment specifically *for* these activities is typically classified with the activities themselves, as it directly facilitates participation. This is distinct from general rental services for machinery (Class 37) or vehicles (Class 39), emphasizing its direct link to sporting activities."
Providing fitness and exercise facilities,Service for operating physical premises,Making available premises and equipment for physical fitness and exercise activities,Operation and provision of fitness and exercise facilities,"Class 41 includes 'sporting and cultural activities'. The act of 'providing facilities' for fitness and exercise implies the operation and management of a gym or fitness center, which directly facilitates sporting and physical activities. This is distinct from real estate rental (Class 36) because it involves the active provision and often management of equipment and space for specific activities, rather than merely leasing bare property."
Providing golf facilities,Service for providing facilities,Enabling participation in the sport of golf,"Services for providing golf facilities, namely, operating golf courses and driving ranges","Class 41 relates to 'sporting and cultural activities'. Operating a golf course or driving range (meaning 1) directly provides a facility for a sporting activity and fits this class. Manufacturing equipment (meaning 2) would be a goods class (e.g., Class 28) and selling land (meaning 3) would be a financial/real estate service (Class 36). Therefore, only meaning 1 is relevant."
Provision of health club [physical exercise] facilities,Service for providing facilities,Enabling physical exercise and fitness activities,"Services for the provision of health club facilities, namely, operating gymnasiums and fitness centers for physical exercise","Class 41 pertains to 'sporting and cultural activities'. Operating a gymnasium or fitness center (meaning 1) is a direct provision of facilities for physical exercise and fits this class. Selling memberships (meaning 2) is part of the operational aspect of the service, but the core service is the provision of the physical space/equipment. Manufacturing equipment (meaning 3) belongs to a goods class (e.g., Class 28). Thus, meaning 1 is the correct fit."
Organisation of vehicle racing events,Event organization service,"Planning, coordinating, and managing competitive vehicle racing events",Services for the organization of vehicle racing events,"Class 41 covers 'entertainment; sporting and cultural activities'. Arranging and coordinating competitive vehicle races (meaning 1) perfectly describes a service within the 'sporting and entertainment' categories. Manufacturing race vehicles (meaning 2) would fall under a goods class (e.g., Class 12). Providing insurance (meaning 3) is a financial service (Class 36). Therefore, meaning 1 is the appropriate interpretation."
Arranging and conducting of sports events,Event management service,"Planning, managing, and executing sports competitions and gatherings",Services for arranging and conducting sports events,"Class 41 is defined as 'entertainment; sporting and cultural activities'. Managing and executing athletic competitions (meaning 1) directly describes a service of arranging and conducting sports events, fitting squarely into the sporting and entertainment category. Selling tickets (meaning 2) is ancillary to the event itself, and broadcasting (meaning 3) is a separate media service (Class 38). Thus, meaning 1 is the correct one."
Organisation of sporting events,Event organization service,"Planning, coordinating, and managing competitive sporting events",Services for the organization of sporting events,"Class 41 is for 'entertainment; sporting and cultural activities'. Planning and coordinating athletic competitions (meaning 1) directly falls under the 'sporting activities' part of the class description. Providing sports equipment (meaning 2) would be a goods-related class (e.g., Class 28). Funding events (meaning 3) is a financial service (Class 36). Hence, meaning 1 is the correct interpretation."
Shopping bags made of skin,Carrying bag,Transporting purchased goods,Shopping bags constructed from animal skin or hide,"Class 18 includes 'animal skins and hides; luggage and carrying bags'. Reusable carrying bags for purchases, constructed from animal skin (meaning 1), aligns perfectly with both 'carrying bags' and the material 'animal skins'. Medical bags (meaning 2) would fall under Class 10, and decorative bags (meaning 3) are too vague and not specifically 'shopping bags' made of 'skin' in the context of Class 18. Therefore, meaning 1 is correct."
Floor brushes,Manual cleaning tool,Sweeping or scrubbing floors,Brushes for cleaning floors,"Class 21 explicitly lists 'brushes, except paintbrushes; articles for cleaning purposes'. Brushes designed for cleaning floors (meaning 1) fits directly into both categories. Brushes for manufacturing/installation (meaning 2) would likely be industrial tools in Class 7 or 8. Decorative brushes (meaning 3) are not implied by the term or class context. Thus, meaning 1 is the correct interpretation."
Brushes for cleaning,Manual cleaning tool,Removing dirt or debris from surfaces,Brushes used for general cleaning purposes,"Class 21 lists 'brushes, except paintbrushes; articles for cleaning purposes'. General-purpose brushes for various cleaning tasks (meaning 1) is the most direct fit. Industrial brushes (meaning 2) often fall under other classes (e.g., 7 or 8) depending on the machinery. Paintbrushes are explicitly excluded from Class 21 for brushes, and 'for cleaning' clarifies it's not for artistic use (meaning 3). Therefore, meaning 1 is correct."
Hairbrushes,Personal grooming tool,Grooming and styling human hair,Hairbrushes for personal grooming,"Class 21 includes 'combs and sponges; brushes, except paintbrushes'. Brushes for grooming human hair (meaning 1) is a common and direct understanding of 'hairbrushes' and aligns with the personal care items in this class. Brushes for cleaning hair (meaning 2) is less common, the primary purpose is styling/detangling. Brushes made of hair (meaning 3) describes the material, not the item's primary function. Thus, meaning 1 is the most appropriate."
Clothing of leather,Garment,Providing protective and decorative covering for the body,Clothing made from leather,"Class 25 is specifically for 'Clothing, footwear, headwear'. Garments made primarily from leather (meaning 1) is a direct fit for 'clothing'. Accessories (meaning 2) would be Class 25 if clothing accessories, but belts and gloves are generally accepted. However, 'clothing of leather' is more general for actual garments. Upholstery (meaning 3) would be Class 20. Therefore, meaning 1 is the core and most accurate interpretation."
Waterproof clothing,Garment,Protecting the wearer from rain and other moisture,Clothing designed to be waterproof,"Class 25 is for 'Clothing, footwear, headwear'. Garments designed to repel water (meaning 1) directly describes a type of clothing based on its protective function against water, fitting perfectly into the class. Waterproof covers for clothing (meaning 2) are not clothing themselves. Clothing safe to wash in water (meaning 3) is a characteristic of most clothing, not a specific type of 'waterproof clothing' in this context. Thus, meaning 1 is the correct interpretation."
Cocoa beverages with milk,Prepared beverage,For consumption as a hot or cold drink,Cocoa-based beverages containing milk,"Class 30 includes 'cocoa and substitutes therefor' and 'coffee, tea, cocoa and substitutes therefor' as well as general 'beverages'. Drinks primarily made from cocoa and milk (meaning 1) directly fits the description of a prepared beverage. Milk with cocoa flavoring (meaning 2) is very similar but 'cocoa beverages with milk' implies the cocoa is a primary component. Cocoa powder (meaning 3) would be an ingredient, not the beverage itself. Therefore, meaning 1 is the most accurate for a ready-to-consume or easily prepared beverage."
"Provision of advertising space, time and media",Advertising service,Disseminating promotional messages and commercial information,"Services for the provision of advertising space, time, and media for others","Class 35 is specifically for 'Advertising; business management, organization and administration'. Offering platforms for advertisers (meaning 1) is a core service within 'advertising' as it deals with the dissemination of promotional messages. Creating advertisements (meaning 2) is an advertising service itself, but the term 'provision of advertising space, time and media' points more to the platform. Selling media hardware (meaning 3) would be a goods class (e.g., Class 9). Thus, meaning 1 is the primary focus of the term."
Mixes for making broths,Food preparation mix,For preparing broths or soups by adding liquid,Dry or concentrated mixes for making broths,"Class 29 includes 'meat extracts; prepared, frozen, dried and cooked fruits and vegetables'. Mixes for making broths (meaning 1) are food preparations, typically dried or concentrated, used to create a broth, which aligns with 'meat extracts' and general food preparations. Ready-to-eat broths (meaning 2) are also Class 29, but the term specifies 'mixes for making'. Containers (meaning 3) would be Class 21. Therefore, meaning 1 is the direct interpretation."
Sound recording and video entertainment services,Entertainment service,"Producing, capturing, and providing audio and visual entertainment content",Sound recording and video entertainment production and provision services,"Class 41 covers 'entertainment; sporting and cultural activities'. Services related to producing and distributing audio and visual entertainment (meaning 1) directly fits the 'entertainment' aspect of Class 41. Manufacturing equipment (meaning 2) would be a goods class (e.g., Class 9 or 7). Selling recorded content (meaning 3) could be a retail service (Class 35) or part of the entertainment service, but the core is the 'recording' and 'entertainment services' rather than just sale. Therefore, meaning 1 is correct."
Communications equipment,Electronic apparatus,"Transmitting, receiving, and processing sound, image, or data signals",Electronic apparatus for communication,"Class 9 includes 'apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data'. Electronic devices for transmitting and receiving information (meaning 1) is a broad and accurate description that fits well within the specified functions of Class 9. Public address systems (meaning 2) can be communications equipment, but 'electronic devices' is more fundamental. Protective gear (meaning 3) would be Class 9 for specific safety uses, but generally Class 9 is for the electrical/electronic nature itself. Thus, meaning 1 is the most comprehensive and direct fit."
Dressings for salad,Edible condiment,Flavoring and enhancing the taste of salads,Salad dressings [edible sauces],"Class 30 includes 'vinegar, sauces and other condiments'. Edible sauces or mixtures for flavoring salads (meaning 1) is a direct fit for 'sauces and other condiments'. Containers (meaning 2) would be Class 21. Clothing (meaning 3) would be Class 25. Therefore, meaning 1 is the correct interpretation."
Tartare sauce,Edible condiment,"Flavoring and accompanying food dishes, particularly seafood",Tartare sauce [edible condiment],"Class 30 covers 'vinegar, sauces and other condiments'. An edible cold sauce (meaning 1) fits perfectly into the 'sauces and other condiments' category. An ingredient (meaning 2) is too specific, the term implies the finished product. A cleaning product (meaning 3) would be Class 3. Therefore, meaning 1 is the direct and correct interpretation."
Mayonnaise,Edible condiment,"Flavoring, binding, or enriching food dishes",Mayonnaise [edible sauce],"Class 30 includes 'vinegar, sauces and other condiments'. An edible emulsion sauce (meaning 1) directly fits as a 'sauce' and 'condiment'. A raw ingredient (meaning 2) is too specific and not the primary meaning of 'mayonnaise'. A beauty product (meaning 3) would be Class 3. Therefore, meaning 1 is the correct interpretation."
Fruit coulis [sauces],Edible sauce,"Flavoring, topping, or garnishing desserts and other dishes",Fruit coulis [edible sauces],"Class 30 includes 'sauces and other condiments'. Thick fruit purees used as edible sauces (meaning 1) is a direct fit, especially with the parenthetical clarification '[sauces]'. Fruit-flavored drinks (meaning 2) would be Class 32. Machinery (meaning 3) would be Class 7. Therefore, meaning 1 is the correct interpretation."
Ketchup [sauce],Edible condiment,Flavoring and accompanying food dishes,Ketchup [edible sauce],"Class 30 includes 'vinegar, sauces and other condiments'. An edible condiment sauce (meaning 1) directly fits the 'sauces and other condiments' category, with the parenthetical clarification '[sauce]'. An ingredient (meaning 2) is too specific. A cleaning agent (meaning 3) would be Class 3. Therefore, meaning 1 is the direct and correct interpretation."
